HDI rank,location,Human Development Index (HDI) ,,Life expectancy at birth,,Expected years of schooling,,Mean years of schooling,,Gross national income (GNI) per capita,,GNI per capita rank minus HDI rank,,HDI rank
134,India,0.644,,67.7,,12.6,,6.6,,6951,,-6,,135
135,Micronesia (Federated States of),0.634,,70.9,,12.6,j,7.3,j,3709,,18,,134
136,Guatemala,0.629,,68.7,,10.8,c,5.7,c,8996,,-17,,136
137,Kiribati,0.628,,67.7,,11.8,,9.1,k,3440,,21,,137
138,Honduras,0.624,,70.7,,10,s,7.3,c,5272,,2,,138
139,Lao People's Democratic Republic,0.62,,69,,10.2,,5.9,p,7745,,-13,,140
140,Vanuatu,0.614,,70.5,,11.8,c,7.2,j,3244,,21,,141
141,Sao Tome and Principe,0.613,,68.8,,12.7,o,5.9,c,4054,,8,,143
142,Eswatini (Kingdom of),0.61,,56.4,,14.9,c,5.7,,8392,,-21,,142
142,Namibia,0.61,,58.1,,11.8,x,7.2,p,9200,,-26,,139
144,Myanmar,0.608,,67.3,,12.1,c,6.5,p,4038,,6,,145
145,Ghana,0.602,,63.9,,11.6,,6.4,p,5380,,-10,,144
146,Kenya,0.601,,62.1,,11.4,x,7.7,,4808,,-3,,147
146,Nepal,0.601,,70.5,,12.6,,4.5,c,4026,,5,,149
148,Cambodia,0.6,,69.9,,11.6,k,5.2,,4291,,0,,147
149,Congo,0.593,,63.1,,12.4,c,8.3,p,2903,,14,,146
150,Angola,0.591,,61.9,,12.2,,5.8,x,5328,,-11,,150
151,Cameroon,0.587,,61,,13.4,c,6.5,p,3681,,3,,152
152,Comoros,0.586,,63.7,,13,c,6.2,y,3261,,8,,151
153,Zambia,0.569,,61.8,,11,y,7.3,p,3157,,9,,154
154,Papua New Guinea,0.568,,66,,11.1,x,4.9,p,3710,,-2,,155
155,Timor-Leste,0.566,,69.1,,13.2,x,6,x,1629,,24,,153
156,Solomon Islands,0.562,,70.7,,10.3,c,5.9,j,2273,,14,,155
157,Syrian Arab Republic,0.557,,72.3,,7.4,k,5.7,k,3594,z,-2,,157
158,Haiti,0.552,,63.7,,11.1,j,5.6,p,2802,,6,,158
159,Uganda,0.55,,63.6,,11.5,x,6.2,c,2241,,12,,160
159,Zimbabwe,0.55,,59.4,,11,c,8.8,c,2079,,15,,159
161,Nigeria,0.548,,53.6,,10.5,,7.6,,4755,,-15,,162
161,Rwanda,0.548,,67.1,,11.4,,4.9,,2317,,8,,163
163,Togo,0.547,,61.6,,13,c,5.6,c,2214,,9,,160
164,Mauritania,0.54,,64.7,,8.1,,4.8,p,5344,,-26,,164
164,Pakistan,0.54,,66.4,,7.9,c,4.4,c,5374,,-27,,165
166,Côte d'Ivoire,0.534,,58.9,,10.1,,4.2,p,5376,,-30,,166
167,Tanzania (United Republic of),0.532,,66.8,,8.6,,5.6,c,2578,,-1,,167
168,Lesotho,0.521,,53,,11.1,c,7.5,c,2709,,-3,,168
169,Senegal,0.517,,67.9,,9.1,,2.9,c,3464,,-12,,170
170,Sudan,0.516,,65.6,,8.5,c,3.9,,3515,,-14,,169
171,Djibouti,0.515,,62.9,,8,c,3.9,k,4875,,-29,,170
172,Malawi,0.508,,62.9,,11.5,c,5.2,,1432,,10,,172
173,Benin,0.504,,60,,10.3,,3.1,p,3406,,-14,,173
174,Gambia,0.495,,62.9,,9,x,4.5,,2090,,-1,,174
175,Eritrea,0.493,,66.6,,7.3,c,5.1,j,1957,z,2,,174
176,Ethiopia,0.492,,65.6,,9.9,c,2.4,c,2369,,-8,,176
177,Liberia,0.487,,61.1,,10.5,,5.3,p,1330,,8,,177
177,Madagascar,0.487,,65.2,,9.2,c,4.6,,1464,,4,,177
179,Guinea-Bissau,0.483,,59.9,,10.5,o,3.7,,1880,,-1,,179
180,Congo (Democratic Republic of the),0.481,,59.7,,9.6,c,7.2,p,1080,,9,,180
181,Guinea,0.471,,59,,10.2,c,2.4,c,2404,,-14,,182
182,Afghanistan,0.462,,62.9,,10.7,c,2.5,,1335,z,2,,181
183,Mozambique,0.461,,59.6,,10.7,c,3.9,,1219,,4,,183
184,Sierra Leone,0.458,,60.4,,9,o,3.5,c,1613,,-4,,184
185,Burkina Faso,0.438,,59.8,,8.1,,2.3,c,2037,,-9,,185
186,Yemen,0.424,,63.7,,7.9,k,2.8,r,1106,l,2,,186
187,Burundi,0.42,,62,,10,c,3.3,c,712,,5,,187
188,Mali,0.41,,59.4,,7,c,1.6,,2044,,-13,,188
189,Chad,0.394,,53,,8.2,c,2.3,c,1389,,-6,,189
189,Niger,0.394,,62.1,,7.2,c,1.3,p,1283,,-3,,190
191,Central African Republic,0.387,,54.5,,7.3,c,4,p,869,,0,,191
192,South Sudan,0.381,,55.6,,5.6,c,5.7,aa,691,l,1,,192
193,Somalia,0.38,,56.1,,7.6,j,1.9,,1072,,-3,,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,
